Country,Latitude,Longitude
Albania,41.1533,20.1683
Australia,-25.2744,133.7751
Belgium,50.5039,4.4699
Bolivia,-16.2902,-63.5887
Brazil,-14.2350,-51.9253
Bulgaria,42.7339,25.4858
Canada,56.1304,-106.3468
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Costa Rica,9.7489,-83.7534
Cuba,21.5218,-77.7812
Czechoslovakia,49.8175,15.4729
Denmark,56.2639,9.5018
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
Estonia,58.5953,25.0136
Ethiopia,9.1450,40.4897
Finland,61.9241,25.7482
France,46.2276,2.2137
Greece,39.0742,21.8243
Guatemala,15.7835,-90.2308
Haiti,18.9712,-72.2852
Honduras,15.2000,-86.2419
Hungary,47.1625,19.5033
Iceland,64.9631,-19.0208
India,20.5937,78.9629
Iran,32.4279,53.6880
Iraq,33.2232,43.6793
Ireland,53.1424,-7.6921
Italy,41.8719,12.5674
Japan,36.2048,138.2529
Latvia,56.8796,24.6032
Lebanon,33.8547,35.8623
Liberia,6.4281,-9.4295
Lithuania,55.1694,23.8813
Luxembourg,49.8153,6.1296
Mexico,23.6345,-102.5528
Mongolia,46.8625,103.8467
Nepal,28.3949,84.1240
Netherlands,52.1326,5.2913
New Zealand,-40.9006,174.8860
Nicaragua,12.8654,-85.2072
Norway,60.4720,8.4689
Panama,8.5380,-80.7821
Paraguay,-23.4425,-58.4438
Peru,-9.1900,-75.0152
Philippines,12.8797,121.7740
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Romania,45.9432,24.9668
Saudi Arabia,23.8859,45.0792
South Africa,-30.5595,22.9375
Soviet Union,61.5240,105.3188
Spain,40.4637,-3.7492
